source,target,value,source_label,target_label,step_from,step_to
4,5,303,Content Namespace Edits,Unknown,1,2
0,6,515,User Namespace Edits,Male,1,2
1,6,575,Wikipedia Namespace Edits,Male,1,2
2,6,159,Talk Namespace Edits,Male,1,2
3,6,560,User Talk Namespace Edits,Male,1,2
4,6,5486,Content Namespace Edits,Male,1,2
0,6,7,User Namespace Edits,Male,1,2
1,6,5,Wikipedia Namespace Edits,Male,1,2
2,6,13,Talk Namespace Edits,Male,1,2
3,6,19,User Talk Namespace Edits,Male,1,2
4,6,487,Content Namespace Edits,Male,1,2
0,5,10,User Namespace Edits,Unknown,1,2
4,5,42,Content Namespace Edits,Unknown,1,2
0,6,41,User Namespace Edits,Male,1,2
1,6,6,Wikipedia Namespace Edits,Male,1,2
2,6,11,Talk Namespace Edits,Male,1,2
4,6,155,Content Namespace Edits,Male,1,2
0,6,28,User Namespace Edits,Male,1,2
1,6,1,Wikipedia Namespace Edits,Male,1,2
2,6,34,Talk Namespace Edits,Male,1,2
3,6,8,User Talk Namespace Edits,Male,1,2
4,6,46,Content Namespace Edits,Male,1,2
0,6,20,User Namespace Edits,Male,1,2
2,6,5,Talk Namespace Edits,Male,1,2
3,6,2,User Talk Namespace Edits,Male,1,2
4,6,98,Content Namespace Edits,Male,1,2
0,6,73,User Namespace Edits,Male,1,2
3,6,12,User Talk Namespace Edits,Male,1,2
4,6,36,Content Namespace Edits,Male,1,2
0,6,46,User Namespace Edits,Male,1,2
3,6,8,User Talk Namespace Edits,Male,1,2
4,6,716,Content Namespace Edits,Male,1,2
0,6,413,User Namespace Edits,Male,1,2
1,6,95,Wikipedia Namespace Edits,Male,1,2
2,6,87,Talk Namespace Edits,Male,1,2
3,6,286,User Talk Namespace Edits,Male,1,2
4,6,2128,Content Namespace Edits,Male,1,2
0,5,27,User Namespace Edits,Unknown,1,2
1,5,1,Wikipedia Namespace Edits,Unknown,1,2
2,5,3,Talk Namespace Edits,Unknown,1,2
3,5,3,User Talk Namespace Edits,Unknown,1,2
4,5,666,Content Namespace Edits,Unknown,1,2
0,6,3,User Namespace Edits,Male,1,2
1,6,1,Wikipedia Namespace Edits,Male,1,2
2,6,4,Talk Namespace Edits,Male,1,2
3,6,13,User Talk Namespace Edits,Male,1,2
4,6,484,Content Namespace Edits,Male,1,2
0,6,19,User Namespace Edits,Male,1,2
3,6,13,User Talk Namespace Edits,Male,1,2
4,6,58,Content Namespace Edits,Male,1,2
0,6,4,User Namespace Edits,Male,1,2
1,6,4,Wikipedia Namespace Edits,Male,1,2
2,6,17,Talk Namespace Edits,Male,1,2
3,6,19,User Talk Namespace Edits,Male,1,2
4,6,138,Content Namespace Edits,Male,1,2
0,5,222,User Namespace Edits,Unknown,1,2
1,5,1013,Wikipedia Namespace Edits,Unknown,1,2
2,5,1504,Talk Namespace Edits,Unknown,1,2
3,5,1930,User Talk Namespace Edits,Unknown,1,2
4,5,22339,Content Namespace Edits,Unknown,1,2
0,6,92,User Namespace Edits,Male,1,2
1,6,89,Wikipedia Namespace Edits,Male,1,2
2,6,27,Talk Namespace Edits,Male,1,2
3,6,228,User Talk Namespace Edits,Male,1,2
4,6,4687,Content Namespace Edits,Male,1,2
0,6,1,User Namespace Edits,Male,1,2
4,6,118,Content Namespace Edits,Male,1,2
0,6,129,User Namespace Edits,Male,1,2
1,6,2169,Wikipedia Namespace Edits,Male,1,2
3,6,48,User Talk Namespace Edits,Male,1,2
4,6,8920,Content Namespace Edits,Male,1,2
0,5,7,User Namespace Edits,Unknown,1,2
1,5,4,Wikipedia Namespace Edits,Unknown,1,2
3,5,2,User Talk Namespace Edits,Unknown,1,2
4,5,270,Content Namespace Edits,Unknown,1,2
0,5,39,User Namespace Edits,Unknown,1,2
3,5,6,User Talk Namespace Edits,Unknown,1,2
4,5,25,Content Namespace Edits,Unknown,1,2
0,6,1,User Namespace Edits,Male,1,2
1,6,5,Wikipedia Namespace Edits,Male,1,2
3,6,6,User Talk Namespace Edits,Male,1,2
4,6,32,Content Namespace Edits,Male,1,2
0,6,19,User Namespace Edits,Male,1,2
4,6,64,Content Namespace Edits,Male,1,2
0,6,7,User Namespace Edits,Male,1,2
4,6,56,Content Namespace Edits,Male,1,2
0,5,1720,User Namespace Edits,Unknown,1,2
1,5,173,Wikipedia Namespace Edits,Unknown,1,2
2,5,127,Talk Namespace Edits,Unknown,1,2
3,5,597,User Talk Namespace Edits,Unknown,1,2
4,5,11427,Content Namespace Edits,Unknown,1,2
0,5,253,User Namespace Edits,Unknown,1,2
1,5,53,Wikipedia Namespace Edits,Unknown,1,2
2,5,181,Talk Namespace Edits,Unknown,1,2
3,5,199,User Talk Namespace Edits,Unknown,1,2
4,5,3786,Content Namespace Edits,Unknown,1,2
5,8,7,Unknown,Edits in Pages related to Women,2,3
0,6,37,User Namespace Edits,Male,1,2
1,6,16,Wikipedia Namespace Edits,Male,1,2
2,6,8,Talk Namespace Edits,Male,1,2
3,6,9,User Talk Namespace Edits,Male,1,2
4,6,382,Content Namespace Edits,Male,1,2
0,5,5,User Namespace Edits,Unknown,1,2
1,5,2,Wikipedia Namespace Edits,Unknown,1,2
2,5,1,Talk Namespace Edits,Unknown,1,2
3,5,2,User Talk Namespace Edits,Unknown,1,2
4,5,32,Content Namespace Edits,Unknown,1,2
0,5,15,User Namespace Edits,Unknown,1,2
1,5,16,Wikipedia Namespace Edits,Unknown,1,2
4,5,769,Content Namespace Edits,Unknown,1,2
0,5,5,User Namespace Edits,Unknown,1,2
4,5,125,Content Namespace Edits,Unknown,1,2
0,6,42,User Namespace Edits,Male,1,2
2,6,4,Talk Namespace Edits,Male,1,2
3,6,10,User Talk Namespace Edits,Male,1,2
4,6,848,Content Namespace Edits,Male,1,2
0,5,43,User Namespace Edits,Unknown,1,2
1,5,31,Wikipedia Namespace Edits,Unknown,1,2
2,5,67,Talk Namespace Edits,Unknown,1,2
3,5,28,User Talk Namespace Edits,Unknown,1,2
4,5,1053,Content Namespace Edits,Unknown,1,2
0,7,1,User Namespace Edits,Female,1,2
3,7,1,User Talk Namespace Edits,Female,1,2
4,7,100,Content Namespace Edits,Female,1,2
0,5,1665,User Namespace Edits,Unknown,1,2
1,5,3419,Wikipedia Namespace Edits,Unknown,1,2
2,5,966,Talk Namespace Edits,Unknown,1,2
3,5,2491,User Talk Namespace Edits,Unknown,1,2
4,5,10200,Content Namespace Edits,Unknown,1,2
0,6,2,User Namespace Edits,Male,1,2
2,6,5,Talk Namespace Edits,Male,1,2
3,6,1,User Talk Namespace Edits,Male,1,2
4,6,178,Content Namespace Edits,Male,1,2
0,6,96,User Namespace Edits,Male,1,2
1,6,4,Wikipedia Namespace Edits,Male,1,2
2,6,8,Talk Namespace Edits,Male,1,2
3,6,15,User Talk Namespace Edits,Male,1,2
4,6,52,Content Namespace Edits,Male,1,2
0,5,1,User Namespace Edits,Unknown,1,2
2,5,2,Talk Namespace Edits,Unknown,1,2
3,5,2,User Talk Namespace Edits,Unknown,1,2
4,5,288,Content Namespace Edits,Unknown,1,2
0,5,2,User Namespace Edits,Unknown,1,2
3,5,9,User Talk Namespace Edits,Unknown,1,2
4,5,51,Content Namespace Edits,Unknown,1,2
0,5,6,User Namespace Edits,Unknown,1,2
1,5,1,Wikipedia Namespace Edits,Unknown,1,2
2,5,19,Talk Namespace Edits,Unknown,1,2
3,5,6,User Talk Namespace Edits,Unknown,1,2
4,5,72,Content Namespace Edits,Unknown,1,2
0,6,15,User Namespace Edits,Male,1,2
2,6,1,Talk Namespace Edits,Male,1,2
3,6,3,User Talk Namespace Edits,Male,1,2
4,6,44,Content Namespace Edits,Male,1,2
0,5,7,User Namespace Edits,Unknown,1,2
1,5,9,Wikipedia Namespace Edits,Unknown,1,2
3,5,1,User Talk Namespace Edits,Unknown,1,2
4,5,39,Content Namespace Edits,Unknown,1,2
0,5,24,User Namespace Edits,Unknown,1,2
1,5,7,Wikipedia Namespace Edits,Unknown,1,2
2,5,8,Talk Namespace Edits,Unknown,1,2
3,5,10,User Talk Namespace Edits,Unknown,1,2
4,5,234,Content Namespace Edits,Unknown,1,2
0,6,2,User Namespace Edits,Male,1,2
2,6,3,Talk Namespace Edits,Male,1,2
3,6,2,User Talk Namespace Edits,Male,1,2
4,6,236,Content Namespace Edits,Male,1,2
0,5,6,User Namespace Edits,Unknown,1,2
4,5,68,Content Namespace Edits,Unknown,1,2
0,6,32,User Namespace Edits,Male,1,2
3,6,4,User Talk Namespace Edits,Male,1,2
4,6,12,Content Namespace Edits,Male,1,2
0,6,106,User Namespace Edits,Male,1,2
1,6,29,Wikipedia Namespace Edits,Male,1,2
2,6,14,Talk Namespace Edits,Male,1,2
3,6,44,User Talk Namespace Edits,Male,1,2
4,6,691,Content Namespace Edits,Male,1,2
0,6,434,User Namespace Edits,Male,1,2
1,6,15,Wikipedia Namespace Edits,Male,1,2
2,6,42,Talk Namespace Edits,Male,1,2
3,6,75,User Talk Namespace Edits,Male,1,2
4,6,1405,Content Namespace Edits,Male,1,2
0,6,446,User Namespace Edits,Male,1,2
1,6,9,Wikipedia Namespace Edits,Male,1,2
2,6,134,Talk Namespace Edits,Male,1,2
3,6,46,User Talk Namespace Edits,Male,1,2
4,6,3845,Content Namespace Edits,Male,1,2
0,5,9,User Namespace Edits,Unknown,1,2
1,5,1,Wikipedia Namespace Edits,Unknown,1,2
2,5,22,Talk Namespace Edits,Unknown,1,2
3,5,5,User Talk Namespace Edits,Unknown,1,2
4,5,108,Content Namespace Edits,Unknown,1,2
0,5,1,User Namespace Edits,Unknown,1,2
1,5,2,Wikipedia Namespace Edits,Unknown,1,2
2,5,19,Talk Namespace Edits,Unknown,1,2
3,5,9,User Talk Namespace Edits,Unknown,1,2
4,5,33,Content Namespace Edits,Unknown,1,2
0,6,351,User Namespace Edits,Male,1,2
1,6,98,Wikipedia Namespace Edits,Male,1,2
2,6,100,Talk Namespace Edits,Male,1,2
3,6,145,User Talk Namespace Edits,Male,1,2
4,6,1003,Content Namespace Edits,Male,1,2
0,6,3,User Namespace Edits,Male,1,2
2,6,6,Talk Namespace Edits,Male,1,2
3,6,6,User Talk Namespace Edits,Male,1,2
4,6,68,Content Namespace Edits,Male,1,2
0,6,67,User Namespace Edits,Male,1,2
1,6,20,Wikipedia Namespace Edits,Male,1,2
2,6,33,Talk Namespace Edits,Male,1,2
3,6,22,User Talk Namespace Edits,Male,1,2
4,6,424,Content Namespace Edits,Male,1,2
0,5,53,User Namespace Edits,Unknown,1,2
1,5,1,Wikipedia Namespace Edits,Unknown,1,2
2,5,66,Talk Namespace Edits,Unknown,1,2
3,5,9,User Talk Namespace Edits,Unknown,1,2
4,5,182,Content Namespace Edits,Unknown,1,2
0,6,5,User Namespace Edits,Male,1,2
1,6,3,Wikipedia Namespace Edits,Male,1,2
2,6,1,Talk Namespace Edits,Male,1,2
4,6,47,Content Namespace Edits,Male,1,2
0,6,474,User Namespace Edits,Male,1,2
1,6,110,Wikipedia Namespace Edits,Male,1,2
2,6,8,Talk Namespace Edits,Male,1,2
3,6,210,User Talk Namespace Edits,Male,1,2
4,6,661,Content Namespace Edits,Male,1,2
0,6,36,User Namespace Edits,Male,1,2
2,6,1,Talk Namespace Edits,Male,1,2
4,6,106,Content Namespace Edits,Male,1,2
0,6,252,User Namespace Edits,Male,1,2
1,6,129,Wikipedia Namespace Edits,Male,1,2
2,6,265,Talk Namespace Edits,Male,1,2
3,6,845,User Talk Namespace Edits,Male,1,2
4,6,1648,Content Namespace Edits,Male,1,2
6,8,5,Male,Edits in Pages related to Women,2,3
0,6,58,User Namespace Edits,Male,1,2
1,6,89,Wikipedia Namespace Edits,Male,1,2
2,6,63,Talk Namespace Edits,Male,1,2
3,6,58,User Talk Namespace Edits,Male,1,2
4,6,5433,Content Namespace Edits,Male,1,2
6,8,2,Male,Edits in Pages related to Women,2,3
0,5,33,User Namespace Edits,Unknown,1,2
3,5,1,User Talk Namespace Edits,Unknown,1,2
4,5,11,Content Namespace Edits,Unknown,1,2
0,5,14,User Namespace Edits,Unknown,1,2
1,5,69,Wikipedia Namespace Edits,Unknown,1,2
2,5,21,Talk Namespace Edits,Unknown,1,2
3,5,39,User Talk Namespace Edits,Unknown,1,2
4,5,7666,Content Namespace Edits,Unknown,1,2
0,6,21,User Namespace Edits,Male,1,2
4,6,191,Content Namespace Edits,Male,1,2
0,6,3,User Namespace Edits,Male,1,2
1,6,891,Wikipedia Namespace Edits,Male,1,2
2,6,1949,Talk Namespace Edits,Male,1,2
3,6,143,User Talk Namespace Edits,Male,1,2
4,6,1372,Content Namespace Edits,Male,1,2
0,5,28,User Namespace Edits,Unknown,1,2
2,5,7,Talk Namespace Edits,Unknown,1,2
3,5,3,User Talk Namespace Edits,Unknown,1,2
4,5,58,Content Namespace Edits,Unknown,1,2
0,6,11,User Namespace Edits,Male,1,2
1,6,8,Wikipedia Namespace Edits,Male,1,2
2,6,6,Talk Namespace Edits,Male,1,2
3,6,3,User Talk Namespace Edits,Male,1,2
4,6,242,Content Namespace Edits,Male,1,2
0,5,2,User Namespace Edits,Unknown,1,2
2,5,3,Talk Namespace Edits,Unknown,1,2
3,5,5,User Talk Namespace Edits,Unknown,1,2
4,5,41,Content Namespace Edits,Unknown,1,2
0,6,45,User Namespace Edits,Male,1,2
2,6,40,Talk Namespace Edits,Male,1,2
3,6,28,User Talk Namespace Edits,Male,1,2
4,6,560,Content Namespace Edits,Male,1,2
0,5,2,User Namespace Edits,Unknown,1,2
1,5,2,Wikipedia Namespace Edits,Unknown,1,2
3,5,9,User Talk Namespace Edits,Unknown,1,2
4,5,247,Content Namespace Edits,Unknown,1,2
0,6,68,User Namespace Edits,Male,1,2
1,6,62,Wikipedia Namespace Edits,Male,1,2
2,6,78,Talk Namespace Edits,Male,1,2
3,6,147,User Talk Namespace Edits,Male,1,2
4,6,5830,Content Namespace Edits,Male,1,2
0,6,1,User Namespace Edits,Male,1,2
1,6,3,Wikipedia Namespace Edits,Male,1,2
2,6,1,Talk Namespace Edits,Male,1,2
3,6,2,User Talk Namespace Edits,Male,1,2
4,6,80,Content Namespace Edits,Male,1,2
0,6,5,User Namespace Edits,Male,1,2
2,6,14,Talk Namespace Edits,Male,1,2
4,6,787,Content Namespace Edits,Male,1,2
0,6,434,User Namespace Edits,Male,1,2
1,6,23,Wikipedia Namespace Edits,Male,1,2
2,6,66,Talk Namespace Edits,Male,1,2
3,6,222,User Talk Namespace Edits,Male,1,2
4,6,27283,Content Namespace Edits,Male,1,2
0,5,4,User Namespace Edits,Unknown,1,2
1,5,14,Wikipedia Namespace Edits,Unknown,1,2
2,5,113,Talk Namespace Edits,Unknown,1,2
3,5,25,User Talk Namespace Edits,Unknown,1,2
4,5,1094,Content Namespace Edits,Unknown,1,2
0,6,11,User Namespace Edits,Male,1,2
2,6,8,Talk Namespace Edits,Male,1,2
4,6,129,Content Namespace Edits,Male,1,2
0,5,3,User Namespace Edits,Unknown,1,2
1,5,6,Wikipedia Namespace Edits,Unknown,1,2
2,5,32,Talk Namespace Edits,Unknown,1,2
3,5,10,User Talk Namespace Edits,Unknown,1,2
4,5,93,Content Namespace Edits,Unknown,1,2
0,6,24,User Namespace Edits,Male,1,2
1,6,303,Wikipedia Namespace Edits,Male,1,2
2,6,20,Talk Namespace Edits,Male,1,2
3,6,416,User Talk Namespace Edits,Male,1,2
4,6,7962,Content Namespace Edits,Male,1,2
6,8,4,Male,Edits in Pages related to Women,2,3
6,9,3,Male,Edits in WikiProjects related to Women,2,3
0,7,2,User Namespace Edits,Female,1,2
4,7,71,Content Namespace Edits,Female,1,2
0,5,1,User Namespace Edits,Unknown,1,2
3,5,8,User Talk Namespace Edits,Unknown,1,2
4,5,47,Content Namespace Edits,Unknown,1,2
0,5,2,User Namespace Edits,Unknown,1,2
1,5,1,Wikipedia Namespace Edits,Unknown,1,2
2,5,12,Talk Namespace Edits,Unknown,1,2
3,5,2,User Talk Namespace Edits,Unknown,1,2
4,5,28,Content Namespace Edits,Unknown,1,2
0,6,179,User Namespace Edits,Male,1,2
1,6,6,Wikipedia Namespace Edits,Male,1,2
2,6,9,Talk Namespace Edits,Male,1,2
3,6,19,User Talk Namespace Edits,Male,1,2
4,6,431,Content Namespace Edits,Male,1,2
0,6,1,User Namespace Edits,Male,1,2
1,6,7,Wikipedia Namespace Edits,Male,1,2
2,6,22,Talk Namespace Edits,Male,1,2
3,6,7,User Talk Namespace Edits,Male,1,2
4,6,3199,Content Namespace Edits,Male,1,2
0,6,19,User Namespace Edits,Male,1,2
1,6,6,Wikipedia Namespace Edits,Male,1,2
2,6,32,Talk Namespace Edits,Male,1,2
3,6,33,User Talk Namespace Edits,Male,1,2
4,6,851,Content Namespace Edits,Male,1,2
0,5,6,User Namespace Edits,Unknown,1,2
1,5,31,Wikipedia Namespace Edits,Unknown,1,2
2,5,6,Talk Namespace Edits,Unknown,1,2
3,5,7,User Talk Namespace Edits,Unknown,1,2
4,5,54,Content Namespace Edits,Unknown,1,2
0,6,39,User Namespace Edits,Male,1,2
2,6,11,Talk Namespace Edits,Male,1,2
3,6,2,User Talk Namespace Edits,Male,1,2
4,6,227,Content Namespace Edits,Male,1,2
0,6,24,User Namespace Edits,Male,1,2
3,6,5,User Talk Namespace Edits,Male,1,2
4,6,52,Content Namespace Edits,Male,1,2
0,6,41,User Namespace Edits,Male,1,2
1,6,3,Wikipedia Namespace Edits,Male,1,2
3,6,1,User Talk Namespace Edits,Male,1,2
4,6,154,Content Namespace Edits,Male,1,2
0,6,1,User Namespace Edits,Male,1,2
2,6,2,Talk Namespace Edits,Male,1,2
4,6,100,Content Namespace Edits,Male,1,2
0,5,21,User Namespace Edits,Unknown,1,2
1,5,1,Wikipedia Namespace Edits,Unknown,1,2
2,5,2,Talk Namespace Edits,Unknown,1,2
3,5,2,User Talk Namespace Edits,Unknown,1,2
4,5,62,Content Namespace Edits,Unknown,1,2
0,6,808,User Namespace Edits,Male,1,2
1,6,142,Wikipedia Namespace Edits,Male,1,2
2,6,32,Talk Namespace Edits,Male,1,2
3,6,271,User Talk Namespace Edits,Male,1,2
4,6,13953,Content Namespace Edits,Male,1,2
0,6,33,User Namespace Edits,Male,1,2
3,6,1,User Talk Namespace Edits,Male,1,2
4,6,19,Content Namespace Edits,Male,1,2
0,7,66,User Namespace Edits,Female,1,2
2,7,6,Talk Namespace Edits,Female,1,2
3,7,10,User Talk Namespace Edits,Female,1,2
4,7,399,Content Namespace Edits,Female,1,2
0,7,5,User Namespace Edits,Female,1,2
3,7,4,User Talk Namespace Edits,Female,1,2
4,7,52,Content Namespace Edits,Female,1,2
0,7,1,User Namespace Edits,Female,1,2
4,7,73,Content Namespace Edits,Female,1,2
7,9,1,Female,Edits in WikiProjects related to Women,2,3
0,5,2,User Namespace Edits,Unknown,1,2
2,5,4,Talk Namespace Edits,Unknown,1,2
4,5,65,Content Namespace Edits,Unknown,1,2
0,6,4,User Namespace Edits,Male,1,2
2,6,16,Talk Namespace Edits,Male,1,2
3,6,18,User Talk Namespace Edits,Male,1,2
4,6,96,Content Namespace Edits,Male,1,2
0,5,167,User Namespace Edits,Unknown,1,2
1,5,129,Wikipedia Namespace Edits,Unknown,1,2
2,5,393,Talk Namespace Edits,Unknown,1,2
3,5,401,User Talk Namespace Edits,Unknown,1,2
4,5,3362,Content Namespace Edits,Unknown,1,2
0,5,33,User Namespace Edits,Unknown,1,2
1,5,4,Wikipedia Namespace Edits,Unknown,1,2
2,5,61,Talk Namespace Edits,Unknown,1,2
3,5,20,User Talk Namespace Edits,Unknown,1,2
4,5,834,Content Namespace Edits,Unknown,1,2
0,6,193,User Namespace Edits,Male,1,2
1,6,61,Wikipedia Namespace Edits,Male,1,2
2,6,717,Talk Namespace Edits,Male,1,2
3,6,211,User Talk Namespace Edits,Male,1,2
4,6,986,Content Namespace Edits,Male,1,2
0,5,6,User Namespace Edits,Unknown,1,2
1,5,1,Wikipedia Namespace Edits,Unknown,1,2
2,5,27,Talk Namespace Edits,Unknown,1,2
3,5,35,User Talk Namespace Edits,Unknown,1,2
4,5,314,Content Namespace Edits,Unknown,1,2
0,6,2,User Namespace Edits,Male,1,2
3,6,4,User Talk Namespace Edits,Male,1,2
4,6,246,Content Namespace Edits,Male,1,2
0,6,11,User Namespace Edits,Male,1,2
2,6,4,Talk Namespace Edits,Male,1,2
3,6,2,User Talk Namespace Edits,Male,1,2
4,6,62,Content Namespace Edits,Male,1,2
0,6,409,User Namespace Edits,Male,1,2
1,6,524,Wikipedia Namespace Edits,Male,1,2
2,6,535,Talk Namespace Edits,Male,1,2
3,6,351,User Talk Namespace Edits,Male,1,2
4,6,6083,Content Namespace Edits,Male,1,2
6,8,3,Male,Edits in Pages related to Women,2,3
0,6,1,User Namespace Edits,Male,1,2
2,6,1,Talk Namespace Edits,Male,1,2
3,6,8,User Talk Namespace Edits,Male,1,2
4,6,479,Content Namespace Edits,Male,1,2
0,6,10,User Namespace Edits,Male,1,2
4,6,76,Content Namespace Edits,Male,1,2
0,5,13,User Namespace Edits,Unknown,1,2
1,5,29,Wikipedia Namespace Edits,Unknown,1,2
2,5,1,Talk Namespace Edits,Unknown,1,2
3,5,41,User Talk Namespace Edits,Unknown,1,2
4,5,206,Content Namespace Edits,Unknown,1,2
0,5,1,User Namespace Edits,Unknown,1,2
1,5,3,Wikipedia Namespace Edits,Unknown,1,2
2,5,6,Talk Namespace Edits,Unknown,1,2
3,5,17,User Talk Namespace Edits,Unknown,1,2
4,5,352,Content Namespace Edits,Unknown,1,2
0,5,243,User Namespace Edits,Unknown,1,2
1,5,687,Wikipedia Namespace Edits,Unknown,1,2
2,5,162,Talk Namespace Edits,Unknown,1,2
3,5,161,User Talk Namespace Edits,Unknown,1,2
4,5,4162,Content Namespace Edits,Unknown,1,2
5,8,3,Unknown,Edits in Pages related to Women,2,3
0,5,13,User Namespace Edits,Unknown,1,2
4,5,39,Content Namespace Edits,Unknown,1,2
0,6,22,User Namespace Edits,Male,1,2
4,6,19,Content Namespace Edits,Male,1,2
0,5,1,User Namespace Edits,Unknown,1,2
4,5,404,Content Namespace Edits,Unknown,1,2
0,5,10,User Namespace Edits,Unknown,1,2
1,5,3,Wikipedia Namespace Edits,Unknown,1,2
2,5,46,Talk Namespace Edits,Unknown,1,2
3,5,31,User Talk Namespace Edits,Unknown,1,2
4,5,1895,Content Namespace Edits,Unknown,1,2
0,6,96,User Namespace Edits,Male,1,2
2,6,7,Talk Namespace Edits,Male,1,2
3,6,2,User Talk Namespace Edits,Male,1,2
4,6,7,Content Namespace Edits,Male,1,2
0,5,9,User Namespace Edits,Unknown,1,2
1,5,5,Wikipedia Namespace Edits,Unknown,1,2
2,5,126,Talk Namespace Edits,Unknown,1,2
3,5,34,User Talk Namespace Edits,Unknown,1,2
4,5,1492,Content Namespace Edits,Unknown,1,2
0,6,11,User Namespace Edits,Male,1,2
2,6,9,Talk Namespace Edits,Male,1,2
3,6,5,User Talk Namespace Edits,Male,1,2
4,6,95,Content Namespace Edits,Male,1,2
0,6,8,User Namespace Edits,Male,1,2
1,6,1,Wikipedia Namespace Edits,Male,1,2
2,6,6,Talk Namespace Edits,Male,1,2
3,6,8,User Talk Namespace Edits,Male,1,2
4,6,50,Content Namespace Edits,Male,1,2
0,5,1,User Namespace Edits,Unknown,1,2
1,5,2,Wikipedia Namespace Edits,Unknown,1,2
3,5,8,User Talk Namespace Edits,Unknown,1,2
4,5,46,Content Namespace Edits,Unknown,1,2
0,6,533,User Namespace Edits,Male,1,2
1,6,1123,Wikipedia Namespace Edits,Male,1,2
2,6,1953,Talk Namespace Edits,Male,1,2
3,6,1195,User Talk Namespace Edits,Male,1,2
4,6,8519,Content Namespace Edits,Male,1,2
6,8,10,Male,Edits in Pages related to Women,2,3
0,7,47,User Namespace Edits,Female,1,2
3,7,5,User Talk Namespace Edits,Female,1,2
4,7,1,Content Namespace Edits,Female,1,2
0,6,23,User Namespace Edits,Male,1,2
2,6,7,Talk Namespace Edits,Male,1,2
3,6,2,User Talk Namespace Edits,Male,1,2
4,6,5827,Content Namespace Edits,Male,1,2
0,6,9,User Namespace Edits,Male,1,2
2,6,7,Talk Namespace Edits,Male,1,2
3,6,9,User Talk Namespace Edits,Male,1,2
4,6,49,Content Namespace Edits,Male,1,2
0,5,601,User Namespace Edits,Unknown,1,2
2,5,9,Talk Namespace Edits,Unknown,1,2
3,5,2,User Talk Namespace Edits,Unknown,1,2
4,5,158,Content Namespace Edits,Unknown,1,2
0,5,196,User Namespace Edits,Unknown,1,2
1,5,2,Wikipedia Namespace Edits,Unknown,1,2
2,5,5,Talk Namespace Edits,Unknown,1,2
3,5,17,User Talk Namespace Edits,Unknown,1,2
4,5,41,Content Namespace Edits,Unknown,1,2
0,6,9,User Namespace Edits,Male,1,2
1,6,17,Wikipedia Namespace Edits,Male,1,2
2,6,36,Talk Namespace Edits,Male,1,2
3,6,46,User Talk Namespace Edits,Male,1,2
4,6,200,Content Namespace Edits,Male,1,2
0,6,25,User Namespace Edits,Male,1,2
1,6,2,Wikipedia Namespace Edits,Male,1,2
2,6,2,Talk Namespace Edits,Male,1,2
4,6,114,Content Namespace Edits,Male,1,2
0,6,1,User Namespace Edits,Male,1,2
2,6,14,Talk Namespace Edits,Male,1,2
4,6,50,Content Namespace Edits,Male,1,2
0,6,104,User Namespace Edits,Male,1,2
1,6,28,Wikipedia Namespace Edits,Male,1,2
2,6,32,Talk Namespace Edits,Male,1,2
3,6,19,User Talk Namespace Edits,Male,1,2
4,6,3695,Content Namespace Edits,Male,1,2
0,6,34,User Namespace Edits,Male,1,2
1,6,2,Wikipedia Namespace Edits,Male,1,2
3,6,6,User Talk Namespace Edits,Male,1,2
4,6,105,Content Namespace Edits,Male,1,2
0,6,80,User Namespace Edits,Male,1,2
1,6,2,Wikipedia Namespace Edits,Male,1,2
3,6,21,User Talk Namespace Edits,Male,1,2
4,6,4,Content Namespace Edits,Male,1,2
0,6,60,User Namespace Edits,Male,1,2
3,6,4,User Talk Namespace Edits,Male,1,2
4,6,1,Content Namespace Edits,Male,1,2
0,7,21,User Namespace Edits,Female,1,2
2,7,8,Talk Namespace Edits,Female,1,2
3,7,8,User Talk Namespace Edits,Female,1,2
4,7,23,Content Namespace Edits,Female,1,2
0,6,31,User Namespace Edits,Male,1,2
3,6,6,User Talk Namespace Edits,Male,1,2
4,6,120,Content Namespace Edits,Male,1,2
0,6,2,User Namespace Edits,Male,1,2
1,6,1,Wikipedia Namespace Edits,Male,1,2
4,6,69,Content Namespace Edits,Male,1,2
0,5,414,User Namespace Edits,Unknown,1,2
1,5,2975,Wikipedia Namespace Edits,Unknown,1,2
2,5,569,Talk Namespace Edits,Unknown,1,2
3,5,677,User Talk Namespace Edits,Unknown,1,2
4,5,5879,Content Namespace Edits,Unknown,1,2
5,8,3,Unknown,Edits in Pages related to Women,2,3
0,5,3,User Namespace Edits,Unknown,1,2
4,5,66,Content Namespace Edits,Unknown,1,2
0,6,8,User Namespace Edits,Male,1,2
1,6,2,Wikipedia Namespace Edits,Male,1,2
3,6,16,User Talk Namespace Edits,Male,1,2
4,6,28,Content Namespace Edits,Male,1,2
0,6,336,User Namespace Edits,Male,1,2
1,6,70,Wikipedia Namespace Edits,Male,1,2
2,6,97,Talk Namespace Edits,Male,1,2
3,6,213,User Talk Namespace Edits,Male,1,2
4,6,3663,Content Namespace Edits,Male,1,2
0,6,26,User Namespace Edits,Male,1,2
1,6,16,Wikipedia Namespace Edits,Male,1,2
2,6,33,Talk Namespace Edits,Male,1,2
3,6,13,User Talk Namespace Edits,Male,1,2
4,6,3110,Content Namespace Edits,Male,1,2
0,5,1,User Namespace Edits,Unknown,1,2
4,5,145,Content Namespace Edits,Unknown,1,2
0,6,8,User Namespace Edits,Male,1,2
